INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2022-04-01T22:00:00-00:00,2022-04-01T23:00:00-00:00,2,2022-04-01,16,0,2DA,BANC,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1635.64,2DA,3
2022-04-02T03:00:00-00:00,2022-04-02T04:00:00-00:00,2,2022-04-01,21,0,2DA,BANC,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1784.49,2DA,3
2022-04-02T02:00:00-00:00,2022-04-02T03:00:00-00:00,2,2022-04-01,20,0,2DA,BANC,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1765.85,2DA,3
2022-04-01T21:00:00-00:00,2022-04-01T22:00:00-00:00,2,2022-04-01,15,0,2DA,BANC,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1610.48,2DA,3
2022-04-02T01:00:00-00:00,2022-04-02T02:00:00-00:00,2,2022-04-01,19,0,2DA,BANC,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1736.83,2DA,3
2022-04-02T00:00:00-00:00,2022-04-02T01:00:00-00:00,2,2022-04-01,18,0,2DA,BANC,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1724.12,2DA,3
2022-04-01T19:00:00-00:00,2022-04-01T20:00:00-00:00,2,2022-04-01,13,0,2DA,BANC,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1597.02,2DA,3
2022-04-01T14:00:00-00:00,2022-04-01T15:00:00-00:00,2,2022-04-01,8,0,2DA,BANC,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1649.45,2DA,3
2022-04-01T07:00:00-00:00,2022-04-01T08:00:00-00:00,2,2022-04-01,1,0,2DA,BANC,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1367.41,2DA,3
2022-04-01T13:00:00-00:00,2022-04-01T14:00:00-00:00,2,2022-04-01,7,0,2DA,BANC,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1570.7,2DA,3
2022-04-01T10:00:00-00:00,2022-04-01T11:00:00-00:00,2,2022-04-01,4,0,2DA,BANC,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1282.39,2DA,3
2022-04-01T17:00:00-00:00,2022-04-01T18:00:00-00:00,2,2022-04-01,11,0,2DA,BANC,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1620.55,2DA,3
2022-04-01T18:00:00-00:00,2022-04-01T19:00:00-00:00,2,2022-04-01,12,0,2DA,BANC,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1611.46,2DA,3
2022-04-01T16:00:00-00:00,2022-04-01T17:00:00-00:00,2,2022-04-01,10,0,2DA,BANC,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1637.1,2DA,3
2022-04-02T05:00:00-00:00,2022-04-02T06:00:00-00:00,2,2022-04-01,23,0,2DA,BANC,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1593.24,2DA,3
2022-04-02T04:00:00-00:00,2022-04-02T05:00:00-00:00,2,2022-04-01,22,0,2DA,BANC,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1693.93,2DA,3
2022-04-01T08:00:00-00:00,2022-04-01T09:00:00-00:00,2,2022-04-01,2,0,2DA,BANC,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1319.74,2DA,3
2022-04-01T23:00:00-00:00,2022-04-02T00:00:00-00:00,2,2022-04-01,17,0,2DA,BANC,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1677.81,2DA,3
2022-04-01T12:00:00-00:00,2022-04-01T13:00:00-00:00,2,2022-04-01,6,0,2DA,BANC,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1420.75,2DA,3
2022-04-01T15:00:00-00:00,2022-04-01T16:00:00-00:00,2,2022-04-01,9,0,2DA,BANC,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1656.06,2DA,3
2022-04-01T16:00:00-00:00,2022-04-01T17:00:00-00:00,2,2022-04-01,10,0,2DA,BANCMID,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,260.9,2DA,4
2022-04-01T10:00:00-00:00,2022-04-01T11:00:00-00:00,2,2022-04-01,4,0,2DA,BANCMID,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,220.03,2DA,4
2022-04-01T07:00:00-00:00,2022-04-01T08:00:00-00:00,2,2022-04-01,1,0,2DA,BANCMID,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,234.09,2DA,4
2022-04-02T02:00:00-00:00,2022-04-02T03:00:00-00:00,2,2022-04-01,20,0,2DA,BANCMID,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,288.76,2DA,4
2022-04-01T13:00:00-00:00,2022-04-01T14:00:00-00:00,2,2022-04-01,7,0,2DA,BANCMID,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,246.55,2DA,4
2022-04-01T23:00:00-00:00,2022-04-02T00:00:00-00:00,2,2022-04-01,17,0,2DA,BANCMID,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,272.54,2DA,4
2022-04-01T22:00:00-00:00,2022-04-01T23:00:00-00:00,2,2022-04-01,16,0,2DA,BANCMID,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,266.15,2DA,4
2022-04-01T11:00:00-00:00,2022-04-01T12:00:00-00:00,2,2022-04-01,5,0,2DA,BANCMID,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,222.25,2DA,4
